Number,	 SepLen,	 SepWid,	 PetLen,	 PetWid,	 Class
29,	 SepLen0,	 SepWid1,	 PetLen0,	 PetWid0,	 No
30,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 Yes
31,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 Yes
32,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 Yes
33,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 Yes
34,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 Yes
35,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 Yes
36,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 Yes
37,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 Yes
38,	 SepLen0,	 SepWid0,	 PetLen1,	 PetWid1,	 Yes
39,	 SepLen0,	 SepWid0,	 PetLen1,	 PetWid1,	 Yes
40,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 Yes
41,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 Yes
42,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 Yes
43,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 Yes
44,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 Yes
45,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 Yes
46,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 Yes
47,	 SepLen3,	 SepWid2,	 PetLen2,	 PetWid2,	 Yes
48,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 Yes
49,	 SepLen2,	 SepWid0,	 PetLen2,	 PetWid2,	 Yes
50,	 SepLen1,	 SepWid0,	 PetLen2,	 PetWid2,	 Yes
51,	 SepLen3,	 SepWid2,	 PetLen2,	 PetWid2,	 Yes
52,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 Yes
53,	 SepLen2,	 SepWid1,	 PetLen2,	 PetWid2,	 Yes
54,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 Yes
55,	 SepLen1,	 SepWid2,	 PetLen2,	 PetWid2,	 Yes
56,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 Yes
57,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 Yes
58,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid2,	 Yes
59,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid2,	 Yes
60,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 No
61,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 No
62,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 No
63,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
64,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
65,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
66,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid4,	 No
67,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 No
68,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 No
69,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 No
70,	 SepLen4,	 SepWid1,	 PetLen4,	 PetWid3,	 No
71,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
72,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid3,	 No
73,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
74,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
75,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
76,	 SepLen1,	 SepWid1,	 PetLen3,	 PetWid3,	 No
77,	 SepLen1,	 SepWid1,	 PetLen3,	 PetWid3,	 No
78,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid4,	 No
79,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
80,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 No
81,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 No
82,	 SepLen1,	 SepWid1,	 PetLen3,	 PetWid3,	 No
83,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid4,	 No
84,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 No
85,	 SepLen1,	 SepWid1,	 PetLen3,	 PetWid3,	 No
86,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
87,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
88,	 SepLen4,	 SepWid3,	 PetLen4,	 PetWid4,	 No
89,	 SepLen4,	 SepWid1,	 PetLen4,	 PetWid3,	 No
