Number,	 SepLen,	 SepWid,	 PetLen,	 PetWid,	 Class
79,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
80,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid4,	 No
81,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
82,	 SepLen4,	 SepWid1,	 PetLen4,	 PetWid3,	 No
83,	 SepLen4,	 SepWid1,	 PetLen4,	 PetWid3,	 No
84,	 SepLen3,	 SepWid1,	 PetLen4,	 PetWid3,	 No
85,	 SepLen3,	 SepWid1,	 PetLen4,	 PetWid3,	 No
86,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid3,	 No
87,	 SepLen4,	 SepWid3,	 PetLen4,	 PetWid4,	 No
88,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid4,	 No
89,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
